"filename", "language", "Java", "XML", "CSV", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\misc.xml", "XML", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\AuthenticationController.java", "Java", -11, 0, 0, 0, 0, 1, 0, -10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\AuthenticationViewController.java", "Java", -10, 0, 0, 0, 0, -1, -7, -18
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\CampViewController.java", "Java", -36, 0, 0, 0, 0, -1, -9, -46
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\EnquiryViewController.java", "Java", -31, 0, 0, 0, 0, 0, -10, -41
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\Interfaces\IViewController.java", "Java", -4, 0, 0, 0, 0, -3, -2, -9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ProfileViewController.java", "Java", -4, 0, 0, 0, 0, 0, -6, -10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\SuggestionViewController.java", "Java", -42, 0, 0, 0, 0, -3, -11, -56
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeController.java", "Java", -5, 0, 0, 0, 0, 0, 1, -4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Abstract\AUser.java", "Java", -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Camp.java", "Java", -12, 0, 0, 0, 0, 0, -2, -14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMember.java", "Java", -4, 0, 0, 0, 0, 0, -2, -6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampCommiteeMembers.java", "Java", -13, 0, 0, 0, 0, 0, -1, -14
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\CampList.java", "Java", -13, 0, 0, 0, 0, 0, 0, -13
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Enquiry.java", "Java", -6, 0, 0, 0, 0, -1, -2, -9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryList.java", "Java", -8, 0, 0, 0, 0, -1, 0, -9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\EnquiryResponse.java", "Java", -3, 0, 0, 0, 0, -1, -2, -6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Interface\ICampInformation.java", "Java", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PerformanceReport.java", "Java", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\PermissionList.java", "Java", -15, 0, 0, 0, 0, 0, -4, -19
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Report.java", "Java", 1, 0, 0, 0, 0, 0, -1, 0
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\ReportList.java", "Java", -8, 0, 0, 0, 0, 0, -4, -12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Staff.java", "Java", -16, 0, 0, 0, 0, -2, -6, -24
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Student.java", "Java", -25, 0, 0, 0, 0, -6, -7, -38
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\StudentEnquiryReport.java", "Java", -3, 0, 0, 0, 0, -1, -2, -6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Suggestion.java", "Java", -11, 0, 0, 0, 0, 0, -5, -16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\SuggestionList.java", "Java", -5, 0, 0, 0, 0, 0, -1, -6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\DatabaseUtils.java", "Java", -53, 0, 0, 0, 0, 1, 6, -46
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\InputUtils.java", "Java", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\PageUtils.java", "Java", -34, 0, 0, 0, 0, 0, -1, -35
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Utils\ReportUtils.java", "Java", -12, 0, 0, 0, 0, 0, -5, -17
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\HomeView.java", "Java", -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Apps\ProfileView.java", "Java", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Authentications\LoginView.java", "Java", -2, 0, 0, 0, 0, 0, 1, -1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampCreateView.java", "Java", -17, 0, 0, 0, 0, -2, -4, -23
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampDeregisterView.java", "Java", -17, 0, 0, 0, 0, -2, -4, -23
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampEditView.java", "Java", -17, 0, 0, 0, 0, -2, -6, -25
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListStaffMenuView.java", "Java", -10, 0, 0, 0, 0, 0, 0, -10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampListView.java", "Java", -9, 0, 0, 0, 0, 0, 1, -8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampRegisterView.java", "Java", -17, 0, 0, 0, 0, -2, -6, -25
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\CampView.java", "Java", -13, 0, 0, 0, 0, 0, 1, -12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Camps\RegisterCampStatusView.java", "Java", -17, 0, 0, 0, 0, -2, -5, -24
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryCreateView.java", "Java", -22, 0, 0, 0, 0, -1, -6, -29
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryEditView.java", "Java", -21, 0, 0, 0, 0, -1, -6, -28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryListView.java", "Java", -7, 0, 0, 0, 0, 0, 0, -7
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryReplyView.java", "Java", -21, 0, 0, 0, 0, -1, -8, -30
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Enquiries\EnquiryView.java", "Java", -10, 0, 0, 0, 0, 0, -1, -11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Views\Interfaces\IView.java", "Java", -1, 0, 0, 0, 0, 0, 0, -1
