"filename", "language", "Java", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\misc.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\AuthenticationController.java", "Java", 76, 0, 0, 0, 0, 9, 20, 105
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeController.class", "Java", 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeController.java", "Java", 44, 0, 0, 0, 0, 0, 13, 57
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ThemeMode.class", "Java", 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Controllers\ViewControllerController.java", "Java", 62, 0, 0, 0, 0, 5, 10, 77
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Exports\AttendenceReport_d0615189-e5c2-4102-b5a5-e12ffe10cd43.csv", "CSV", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Main.java", "Java", 10, 0, 0, 0, 0, 21, 13, 44
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Abstract\AUser.java", "Java", 22, 0, 0, 0, 0, 0, 8, 30
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\Models\Action.java", "Java", 15, 0, 0, 0, 0, 0, 5, 20
